3114.00,wm-lh-G_and_S_occipital_inferior
3115.00,wm-lh-G_occipital_middle
3116.00,wm-lh-G_occipital_superior
3117.00,wm-lh-G_occipit-temp_lat-Or_fusiform
3118.00,wm-lh-G_occipit-temp_med-Lingual_part
3119.00,wm-lh-G_occipit-temp_med-Parahippocampal_part
3120.00,wm-lh-G_orbital
3121.00,wm-lh-G_paracentral
3122.00,wm-lh-G_parietal_inferior-Angular_part
3123.00,wm-lh-G_parietal_inferior-Supramarginal_part
3124.00,wm-lh-G_parietal_superior
3125.00,wm-lh-G_postcentral
3126.00,wm-lh-G_precentral
3127.00,wm-lh-G_precuneus
3128.00,wm-lh-G_rectus
3129.00,wm-lh-G_subcallosal
3130.00,wm-lh-G_subcentral
3131.00,wm-lh-G_temporal_inferior
3132.00,wm-lh-G_temporal_middle
3133.00,wm-lh-G_temp_sup-G_temp_transv_and_interm_S
3134.00,wm-lh-G_temp_sup-Lateral_aspect
3135.00,wm-lh-G_temp_sup-Planum_polare
3136.00,wm-lh-G_temp_sup-Planum_tempolare
3137.00,wm-lh-G_and_S_transverse_frontopolar
3138.00,wm-lh-Lat_Fissure-ant_sgt-ramus_horizontal
3139.00,wm-lh-Lat_Fissure-ant_sgt-ramus_vertical
3140.00,wm-lh-Lat_Fissure-post_sgt
3141.00,wm-lh-Medial_wall
3142.00,wm-lh-Pole_occipital
3143.00,wm-lh-Pole_temporal
3144.00,wm-lh-S_calcarine
3145.00,wm-lh-S_central
3146.00,wm-lh-S_central_insula
3147.00,wm-lh-S_cingulate-Main_part_and_Intracingulate
3148.00,wm-lh-S_cingulate-Marginalis_part
3149.00,wm-lh-S_circular_insula_anterior
3150.00,wm-lh-S_circular_insula_inferior
3151.00,wm-lh-S_circular_insula_superior
3152.00,wm-lh-S_collateral_transverse_ant
3153.00,wm-lh-S_collateral_transverse_post
3154.00,wm-lh-S_frontal_inferior
3155.00,wm-lh-S_frontal_middle
3156.00,wm-lh-S_frontal_superior
3157.00,wm-lh-S_frontomarginal
3158.00,wm-lh-S_intermedius_primus-Jensen
3159.00,wm-lh-S_intraparietal-and_Parietal_transverse
3160.00,wm-lh-S_occipital_anterior
3161.00,wm-lh-S_occipital_middle_and_Lunatus
3162.00,wm-lh-S_occipital_superior_and_transversalis
3163.00,wm-lh-S_occipito-temporal_lateral
3164.00,wm-lh-S_occipito-temporal_medial_and_S_Lingual
3165.00,wm-lh-S_orbital-H_shapped
3166.00,wm-lh-S_orbital_lateral
3167.00,wm-lh-S_orbital_medial-Or_olfactory
3168.00,wm-lh-S_paracentral
3169.00,wm-lh-S_parieto_occipital
3170.00,wm-lh-S_pericallosal
3171.00,wm-lh-S_postcentral
3172.00,wm-lh-S_precentral-Inferior-part
3173.00,wm-lh-S_precentral-Superior-part
3174.00,wm-lh-S_subcentral_ant
3175.00,wm-lh-S_subcentral_post
3176.00,wm-lh-S_suborbital
3177.00,wm-lh-S_subparietal
3178.00,wm-lh-S_supracingulate
3179.00,wm-lh-S_temporal_inferior
3180.00,wm-lh-S_temporal_superior
3181.00,wm-lh-S_temporal_transverse
4100.00,wm-rh-Unknown
4101.00,wm-rh-Corpus_callosum
4102.00,wm-rh-G_and_S_Insula_ONLY_AVERAGE
4103.00,wm-rh-G_cingulate-Isthmus
4104.00,wm-rh-G_cingulate-Main_part
4105.00,wm-rh-G_cuneus
4106.00,wm-rh-G_frontal_inf-Opercular_part
4107.00,wm-rh-G_frontal_inf-Orbital_part
4108.00,wm-rh-G_frontal_inf-Triangular_part
4109.00,wm-rh-G_frontal_middle
4110.00,wm-rh-G_frontal_superior
4111.00,wm-rh-G_frontomarginal
4112.00,wm-rh-G_insular_long
4113.00,wm-rh-G_insular_short
4114.00,wm-rh-G_and_S_occipital_inferior
4115.00,wm-rh-G_occipital_middle
4116.00,wm-rh-G_occipital_superior
4117.00,wm-rh-G_occipit-temp_lat-Or_fusiform
4118.00,wm-rh-G_occipit-temp_med-Lingual_part
4119.00,wm-rh-G_occipit-temp_med-Parahippocampal_part
4120.00,wm-rh-G_orbital
4121.00,wm-rh-G_paracentral
4122.00,wm-rh-G_parietal_inferior-Angular_part
4123.00,wm-rh-G_parietal_inferior-Supramarginal_part
4124.00,wm-rh-G_parietal_superior
4125.00,wm-rh-G_postcentral
4126.00,wm-rh-G_precentral
4127.00,wm-rh-G_precuneus
4128.00,wm-rh-G_rectus
4129.00,wm-rh-G_subcallosal
4130.00,wm-rh-G_subcentral
4131.00,wm-rh-G_temporal_inferior
4132.00,wm-rh-G_temporal_middle
4133.00,wm-rh-G_temp_sup-G_temp_transv_and_interm_S
4134.00,wm-rh-G_temp_sup-Lateral_aspect
4135.00,wm-rh-G_temp_sup-Planum_polare
4136.00,wm-rh-G_temp_sup-Planum_tempolare
4137.00,wm-rh-G_and_S_transverse_frontopolar
4138.00,wm-rh-Lat_Fissure-ant_sgt-ramus_horizontal
4139.00,wm-rh-Lat_Fissure-ant_sgt-ramus_vertical
4140.00,wm-rh-Lat_Fissure-post_sgt
4141.00,wm-rh-Medial_wall
4142.00,wm-rh-Pole_occipital
4143.00,wm-rh-Pole_temporal
4144.00,wm-rh-S_calcarine
4145.00,wm-rh-S_central
4146.00,wm-rh-S_central_insula
