D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
0.285521546,-0.052684074,0.003212168,0.729872468,0.426272007,0.967187989,0.796110214,0.389523916,0.797091765,0.093770145,0.479557786,0.814376586,-0.100737206,0.403051279,0.859605741,0.326630904,0.462556473,0.626452818,0.513899172
0.420704574,-0.379199091,0.152023194,0.371920178,-0.399200839,1.572161954,0.81943619,0.068346438,0.985485059,0.439573368,-0.226740172,0.873640752,-0.171300223,0.776988841,0.333598556,1.631112457,-0.025024935,-0.959855496,-1.321711766
-0.040062829,-0.150130124,-0.205145566,1.148554743,0.179743857,0.399698415,0.508058056,0.256480578,0.198546413,0.202759357,0.072003135,0.424308884,-0.002705247,0.256944318,0.391556688,0.371448284,0.221161937,0.121738773,-0.24587568
0.788464933,-0.195910981,0.30924853,0.788790691,0.591252262,0.583591898,0.602425864,0.33276269,0.218555271,0.202817312,0.099212652,0.387368661,0.352308364,0.4774094,1.068849099,-0.142541235,0.443042841,0.32961476,0.767949381
-0.011818574,-0.214978727,-0.17014549,0.908565938,0.189429882,0.663543265,0.58068497,0.196477043,0.301283978,0.025251501,0.313341363,0.37564794,0.020162481,0.347616546,0.395306939,0.268240779,0.33005739,0.115656732,0.093177287
0.598492096,-0.18374987,0.010530321,0.415327617,0.419571121,0.384512446,0.814477761,0.486925936,0.72421171,0.168829524,-0.002783586,0.605242699,-0.123652826,0.810301406,0.726913602,0.536508125,0.208749498,0.074709587,0.060224639
1.204260491,0.167200244,0.456192331,0.199821917,1.042671621,0.617736991,0.392332341,0.295166216,0.86920492,0.289687544,-0.141238874,0.618221214,0.163038006,0.7922118,1.163015317,0.020097084,2.053950298,1.329585944,1.638849746
0.333103934,-0.085977487,-0.221083645,0.264503892,0.663379135,1.15499165,0.890864985,0.453246538,0.332588773,0.031625826,0.386627837,0.783713397,-0.127301364,0.108040358,0.766108371,0.474725193,0.446462481,0.955481878,0.778952329
0.225348329,-0.106583852,-0.25572272,0.154228547,0.565928328,0.846199147,0.873600515,0.40778494,0.446023398,0.017492768,0.236352856,0.558903587,-0.136910717,0.454520019,0.65543205,0.382673854,0.752420183,0.552638693,0.856125577
-0.150726102,-0.154274261,-0.457123533,0.232104456,0.083916701,0.206296483,0.527619374,0.29287628,0.232405049,-0.051947448,-0.058113041,0.570028095,-0.31523507,0.101801891,0.23330058,0.283407001,-0.147541158,-0.100058037,-0.24565927
